prospectno,FDD,MAXDPD24M,max_DPD_LFT,Total_Payments,TGT
719393,31JAN2015,0,,>24 Payment,0
719394,28FEB2015,0,,>24 Payment,0
719399,05FEB2015,0,,>24 Payment,0
719400,25FEB2015,0,,19-24 Payment,0
719402,14FEB2015,0,,>24 Payment,0
719403,28FEB2015,25,55,>24 Payment,0
719409,31JAN2015,0,,>24 Payment,0
719412,28FEB2015,31,31,>24 Payment,0
719415,28FEB2015,0,61,>24 Payment,0
719419,28FEB2015,0,,19-24 Payment,0
719420,31MAY2015,0,27,>24 Payment,0
719426,25FEB2015,0,,>24 Payment,0
719432,31JAN2015,24,24,>24 Payment,0
719433,31JAN2015,0,,>24 Payment,0
719439,31JAN2015,0,,>24 Payment,0
719441,31MAY2015,0,,>24 Payment,0
719443,28FEB2015,0,,>24 Payment,0
719450,16FEB2015,0,,>24 Payment,0
719463,25FEB2015,25,25,>24 Payment,0
719476,20APR2015,0,,>24 Payment,0
719488,19MAY2015,0,,>24 Payment,0
719490,31MAR2015,0,,>24 Payment,0
719499,21FEB2015,31,31,>24 Payment,0
719500,31JAN2015,0,,>24 Payment,0
719515,28FEB2015,87,420,>24 Payment,1
719520,28FEB2015,0,,>24 Payment,0
719534,23FEB2015,24,24,>24 Payment,0
719536,28FEB2015,0,,>24 Payment,0
719550,31JAN2015,0,,>24 Payment,0
719559,20APR2015,0,,>24 Payment,0
719566,28FEB2015,27,27,>24 Payment,0
719567,21MAR2015,31,31,>24 Payment,0
719580,28FEB2015,0,,>24 Payment,0
719581,28FEB2015,0,,>24 Payment,0
719592,05MAR2015,0,,>24 Payment,0
719599,24FEB2015,27,27,>24 Payment,0
719606,28FEB2015,31,31,>24 Payment,0
719607,28FEB2015,31,85,>24 Payment,0
719608,31MAR2015,0,,>24 Payment,0
719612,27FEB2015,0,,>24 Payment,0
719613,31MAR2015,27,27,>24 Payment,0
719630,30APR2015,58,88,>24 Payment,0
719640,28FEB2015,0,56,>24 Payment,0
719658,28FEB2015,0,,>24 Payment,0
719664,31MAR2015,0,,>24 Payment,0
719665,31MAR2015,0,0,>24 Payment,0
719672,31MAR2015,0,,>24 Payment,0
719673,31MAY2015,0,,>24 Payment,0
719674,27MAY2015,0,,>24 Payment,0
719676,18MAR2015,27,27,>24 Payment,0
719681,28FEB2015,0,,>24 Payment,0
719686,07MAR2015,0,,>24 Payment,0
719687,28FEB2015,0,27,>24 Payment,0
719696,31MAR2015,0,,>24 Payment,0
719713,21MAR2015,0,,>24 Payment,0
719714,28FEB2015,26,26,19-24 Payment,0
719723,30APR2015,31,31,>24 Payment,0
719725,28FEB2015,0,,>24 Payment,0
719729,28FEB2015,0,,>24 Payment,0
719734,31MAY2015,0,,>24 Payment,0
719745,07FEB2015,0,,>24 Payment,0
719766,28MAR2015,31,31,>24 Payment,0
719767,21MAR2015,26,26,>24 Payment,0
719771,31MAR2015,0,,>24 Payment,0
719773,25MAR2015,27,58,>24 Payment,0
719775,28FEB2015,86,147,>24 Payment,1
719780,28FEB2015,0,,>24 Payment,0
719791,26MAR2015,0,26,>24 Payment,0
719798,20FEB2015,0,,>24 Payment,0
719806,28FEB2015,0,,>24 Payment,0
719809,31MAR2015,0,,>24 Payment,0
719823,31MAR2015,0,,>24 Payment,0
719825,30MAR2015,0,,>24 Payment,0
719827,13APR2015,0,,>24 Payment,0
719829,31MAR2015,0,,>24 Payment,0
719830,30JUN2015,0,,>24 Payment,0
719839,06MAR2015,27,27,>24 Payment,0
719841,28FEB2015,0,,>24 Payment,0
719842,31MAR2015,0,27,>24 Payment,0
719849,28FEB2015,0,,>24 Payment,0
719850,31MAR2015,0,,>24 Payment,0
719851,31MAR2015,0,,>24 Payment,0
719863,28MAY2015,0,27,>24 Payment,0
719876,28FEB2015,0,,>24 Payment,0
719880,31MAR2015,0,,>24 Payment,0
719885,05MAR2015,0,,>24 Payment,0
719893,09MAR2015,0,88,>24 Payment,0
719901,13JUL2015,117,117,>24 Payment,1
719908,20MAR2015,61,61,>24 Payment,1
719919,30APR2015,0,,>24 Payment,0
719936,23APR2015,0,27,>24 Payment,0
719938,31MAR2015,0,,>24 Payment,0
719943,26FEB2015,0,,>24 Payment,0
719948,25MAR2015,119,361,>24 Payment,1
719961,31MAY2015,0,,>24 Payment,0
719963,28FEB2015,0,,>24 Payment,0
719975,31MAR2015,0,,>24 Payment,0
719976,28FEB2015,0,,>24 Payment,0
719977,28FEB2015,0,0,>24 Payment,0
719979,16MAR2015,118,118,>24 Payment,1
719980,31MAR2015,0,,>24 Payment,0
719987,17APR2015,0,,>24 Payment,0
719991,28FEB2015,0,,>24 Payment,0
719998,31MAR2015,0,,>24 Payment,0
719999,28FEB2015,0,,>24 Payment,0
720001,28FEB2015,0,,>24 Payment,0
720011,13MAR2015,0,,>24 Payment,0
720013,31MAR2015,0,,19-24 Payment,0
720014,04MAR2015,0,31,>24 Payment,0
720017,28FEB2015,0,,>24 Payment,0
720019,19MAR2015,0,,>24 Payment,0
720027,27MAR2015,0,,>24 Payment,0
